isim,soyisim,eposta,Gender,Age,Department,Attendance (%),Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Ahmed,Smith,sdv-id-PtyxDi,Male,23,Engineering,95.78,90.68,55.77,74.62,64.92436739266269,57.25,69.49944682998816,C,28.5,No,No,Bachelor's,High,7,7.4
Sara,Davis,sdv-id-dIjQFR,Female,22,Engineering,58.59,97.61,92.03,98.65,20.13107091536217,81.62,85.16451025522835,D,13.1,No,Yes,,Low,6,5.6
John,Jones,sdv-id-uYbwyG,Female,23,Mathematics,54.91,76.81,98.88,72.52,26.57538535543392,57.41,79.34041025634684,C,10.5,Yes,No,Master's,Medium,4,7.9
Maria,Jones,sdv-id-cQMgTC,Female,19,Engineering,64.32,75.92,51.82,66.42,70.66989464016682,82.01,67.7914118536199,C,27.6,No,No,Bachelor's,High,2,4.1
Ali,Brown,sdv-id-zhGLda,Male,19,Mathematics,84.63,60.94,80.68,95.06,14.020362356749436,59.52,71.31209667446753,C,26.3,Yes,No,Master's,Low,7,8.5
John,Jones,sdv-id-gBhyGU,Male,22,Mathematics,66.4,93.46,83.25,97.84,14.129868816440169,70.71,82.01751492303575,C,17.0,No,Yes,High School,High,1,6.8
Maria,Davis,sdv-id-DmZGuy,Female,22,CS,92.5,86.37,86.56,61.03,88.29197818779478,99.06,85.42249032033489,C,9.7,Yes,Yes,PhD,Low,4,6.1
Ali,Williams,sdv-id-TmeWoF,Male,19,Engineering,89.6,80.65,89.52,71.63,4.191383966988088,79.42,76.29170383441922,D,17.7,No,No,High School,Medium,10,7.0
Ahmed,Williams,sdv-id-bDlmfF,Male,21,Mathematics,97.59,81.13,88.48,59.27,70.33688902038797,75.28,74.20383264424105,C,19.0,Yes,Yes,High School,Medium,5,5.9
Liam,Jones,sdv-id-JhVhEu,Male,21,CS,96.77,44.05,91.89,76.72,58.92018996700994,86.08,73.9701903344452,C,8.7,No,No,Bachelor's,Low,8,4.1
Ali,Davis,sdv-id-fNKWfC,Female,24,Mathematics,91.51,54.39,91.06,57.51,68.44497548825285,68.28,69.61914156540111,D,16.6,Yes,No,Bachelor's,High,6,4.3
Omar,Williams,sdv-id-dbeuSM,Male,20,Engineering,88.03,60.21,82.86,84.51,68.31901262408492,55.13,65.63953021790103,C,23.6,No,No,,High,6,5.2
Sara,Smith,sdv-id-rrOCmU,Female,20,Engineering,80.11,49.53,77.78,90.46,43.4401706088314,64.41,63.852390172783615,C,20.2,Yes,No,Master's,High,10,4.7
Sara,Davis,sdv-id-oHwZzn,Male,21,CS,73.94,64.32,53.46,66.95,32.10614182837225,79.44,59.96167895928031,B,17.8,No,Yes,Bachelor's,High,7,7.9
Emma,Davis,sdv-id-WcruLu,Male,20,CS,80.06,52.46,69.93,59.25,50.59155214865123,54.11,59.678511854930164,F,8.4,No,No,PhD,Medium,7,5.7
Ali,Johnson,sdv-id-cYiaUH,Female,18,Business,61.74,57.52,88.45,56.75,64.87754582627939,61.42,64.7391634159297,D,29.6,No,Yes,,Medium,2,7.6
Emma,Davis,sdv-id-WpUqNB,Male,24,Business,96.97,87.75,70.47,69.07,30.93032643733914,82.43,66.7873912759818,C,15.2,No,No,Master's,Medium,2,6.2
Liam,Johnson,sdv-id-IjkUkf,Female,23,Business,76.18,71.54,86.15,70.18,49.47640970912632,80.51,72.60851425577809,C,15.3,Yes,No,Master's,Medium,5,7.9
